daty;LPP;Santander;AmRest;AsBis;KGHM;Mbank;Orange;Pekao;Debica;Budimex;Bumech;CCC;CIECH;Comarch;Develia;Dom Developm;Enea;Eurocash;Orlen;Grenevia;Azoty;Handlowy;ING;InterCars;Kerner;Millenium;Neuca;Polenergia;CD Projekt;KETY;WIG;WIBOR3M
2009-01-31;-5,1747924;-0,0730553;-3,75;-33,9254975;7,0395294;-30,2819526;2,8556098;-13,6324185;-6,3294088;8,6049142;0;4,1115716;2,0466777;-16,3924125;1,7286119;23,1610174;-19,4305862;-15,0353299;-12,9516026;-2,8492008;-8,2371322;-27,188398;-36,5100822;-1,8658596;26,0165773;-27,0847918;-17,0292107;8,43298;-15,5970215;0;-9,3401791;-17,3469388
2009-02-28;1,8035343;-17,2848061;-24,4805195;-47,7538375;13,4624104;-30,5852485;-10,3727698;-28,8970647;-4,2221246;-2,616325;-27,9520022;-7,9015544;-30,62923;-19,311291;-5,0819064;-33,8600408;30,3306129;-5,8183457;-8,029188;-4,8819742;33,6984487;-2,715464;-26,7432576;-30,2477771;12,2494777;-34,287812;-7,1318746;-11,5043822;-5,4377509;-0,248473;-12,1310572;-7,2016461
2009-03-31;-12,8119329;5,7012858;14,3020923;106,9461645;33,7945843;10,4100096;6,2171861;7,7398992;3,8297261;27,1102923;21,5741066;-17,2755652;44,0969069;40,9476225;26,7693155;37,7266114;-3,0638798;15,0574371;15,5300665;2,0492574;39,346002;9,7035932;6,0006055;42,9842697;-10,9127258;30,4340352;49,3844456;18,6864015;18,3966033;2,091439;10,8124182;-7,5388027
2009-04-30;5,2617393;33,1406467;19,3580742;38,3182258;29,8898894;43,6242547;-5,9676584;44,9076346;41,6066202;2,0351975;-9,5958599;22,6041883;34,4334057;14,1354695;47,903833;47,8287969;11,4998268;11,9665476;11,6876784;39,4067797;9,0272136;39,9456054;29,2471153;104,3487144;57,7265341;48,8929889;1,0429396;21,9476411;17,4725381;16,9382539;20,7292364;3,117506
2009-05-31;0,4967969;8,2339834;16,5966387;6,6292128;18,1100254;-2,5248847;-5,523091;-10,4113347;11,9198927;-0,1433351;-10,699412;2,2492052;-0,4672454;-1,8115725;25,722847;14,7076479;6,8188879;-0,0948074;9,0949258;35,4830184;21,3281177;-0,7681349;13,7585079;-5,0454535;43,1585144;-10,1522393;-4,1540106;0,7293781;2,4791579;2,2407086;1,0479486;7,4418605
2009-06-30;15,7649058;13,0313244;-0,9009009;-6,779036;16,2671153;16,3387298;0,5944103;5,6281196;-3,4844247;11,5606612;-11,1324594;7,4559227;-17,4443888;-7,691583;-4,5519275;2,0945083;2,4065726;3,0008079;-9,0314742;2,1459227;1,9190911;-3,47561;12,4441509;0,1976305;-9,7155586;21,2639149;28,8594149;-4,6954315;2,4106372;9,3730427;3,7387417;-3,8961039
2009-07-31;23,4023553;10,3772153;9,0909091;60,6127408;24,601804;12,8594876;-3,1265191;27,1493692;16,6758282;-2,2884758;-10,5092574;15,3732492;26,1923401;4,7483774;8,7348081;-7,6886933;17,8416755;19,4113473;7,8086243;18,8407181;4,3307976;17,9018835;41,2272822;29,8637706;26,5780983;40,0706771;4,8230633;2,9960053;37,8016421;6,6348341;15,9206417;-6,0810811
2009-08-31;14,1727042;5,4922833;39,1666667;45,284628;-1,0436202;29,5289282;8,1209856;0,2836527;-5,2554523;5,1898448;14,8281065;2,222578;26,7951005;24,1042639;19,7023516;26,9452726;16,9779492;17,808362;2,673923;0,8919245;4,1438059;7,7180045;17,5784117;18,7575183;0;22,250899;23,8290754;28,7197232;-14,851617;20,3081508;7,6368545;0,2398082
2009-09-30;-7,8831909;5,2174546;-8,8622754;-7,540721;0,9366575;-3,9589944;-1,8637302;4,0978685;9,5351245;9,3151894;-6,5083919;4,3537273;-3,5401788;-11,5391605;-4,2619748;-0,4457428;-0,8086115;-3,3896805;1,882709;-10,4890092;0,4089838;-0,1539774;9,9648349;-5,7335708;0,8786398;-8,9996916;-3,7157243;-3,4562212;6,0389703;0,4843128;-0,9867;0
2009-10-31;-5,5418519;1,2133579;-6,7017083;29,2175967;14,4665051;13,494968;8,2295046;3,5073951;-2,2756136;-1,1089381;1,5469596;-13,7468734;-4,5964809;3,1905015;5,0961665;-2,4071178;-15,016356;1,4290949;2,5204437;-3,8882463;-1,4428719;0,9412174;2,1079322;-3,3790114;5,3299643;5,4948779;-1,7910828;-2,3376782;-1,9052793;2,9125181;2,2546387;0
